word,is_palindrome
aa,1
aba,1
abba,1
acca,1
adda,1
adinida,1
aeaea,1
affa,1
aga,1
aha,1
aiaia,1
aibohphobia,1
ailihphilia,1
akasaka,1
akka,1
ala,1
alala,1
alla,1
alula,1
ama,1
amma,1
ana,1
anana,1
anna,1
anona,1
aoxomoxoa,1
ara,1
araara,1
arara,1
ardra,1
arora,1
atta,1
ava,1
aviva,1
awa,1
beeb,1
bib,1
bob,1
boob,1
brb,1
bub,1
capac,1
civic,1
dad,1
debed,1
deed,1
degged,1
deified,1
deked,1
deled,1
deleveled,1
denned,1
dered,1
detartrated,1
dewed,1
did,1
dud,1
dvd,1
ecce,1
ee,1
egarage,1
eke,1
ele'ele,1
eleele,1
elle,1
eme,1
ere,1
eseese,1
esse,1
eve,1
evitative,1
ewe,1
eye,1
gag,1
gig,1
glenelg,1
gog,1
goog,1
hadedah,1
hagigah,1
hah,1
hajjah,1
halalah,1
hallah,1
hamah,1
hamamah,1
hannah,1
hararah,1
heh,1
huh,1
igigi,1
immi,1
irori,1
izzi,1
kaiak,1
kanak,1
kayak,1
kazak,1
keek,1
kelek,1
kinnikinnik,1
kodok,1
kook,1
krk,1
laval,1
lemel,1
level,1
lil,1
liril,1
lol,1
ma'am,1
madam,1
malayalam,1
mallam,1
markram,1
marram,1
mem,1
mim,1
minim,1
mm,1
mom,1
mum,1
murdrum,1
naan,1
natan,1
nauruan,1
navan,1
nen,1
neven,1
non,1
noon,1
noyon,1
nun,1
ogopogo,1
oho,1
omo,1
ono,1
oo,1
oppo,1
oruro,1
otto,1
oxo,1
pap,1
peep,1
peeweep,1
pep,1
pip,1
pip-pip,1
poop,1
pop,1
pull-up,1
pullup,1
pup,1
put-up,1
qaanaaq,1
qajaq,1
racecar,1
radar,1
redder,1
redivider,1
refer,1
reifier,1
releveler,1
renner,1
repaper,1
reviver,1
revver,1
rotator,1
rotavator,1
rotor,1
sagas,1
salas,1
sedes,1
sees,1
seities,1
seles,1
selles,1
sememes,1
semes,1
senes,1
senones,1
seres,1
serres,1
sesses,1
sexes,1
shaddahs,1
shahs,1
simis,1
sinis,1
siris,1
sis,1
sixaxis,1
solos,1
soosoos,1
sos,1
stats,1
stets,1
stots,1
succus,1
sulus,1
sus,1
susus,1
tacocat,1
tallat,1
tat,1
tattarrattat,1
tebet,1
tenet,1
terret,1
testset,1
tet,1
tevet,1
tirrit,1
tit,1
toot,1
torot,1
tot,1
treffert,1
tumut,1
tut,1
tut-tut,1
vav,1
viv,1
wakaw,1
waw,1
wow,1
xanax,1
xenex,1
yay,1
zerorez,1
zuz,1
zzz,1
árára,1
the,0
be,0
to,0
of,0
and,0
a,0
in,0
that,0
have,0
i,0
it,0
for,0
not,0
on,0
with,0
he,0
as,0
you,0
do,0
at,0
